PM ID,Property Name
2414394,NOAA-NMFS-NW-FSC-BEHAVIOR LAB-AO
2406469,NOS - GFNMS - Bldg 1907 - Shop/Garage - AL
2414568,NOAA-NMFS-NW-FSC-TOWER BLDG-AO
2414570,NOAA-NMFS-NW-FSC-SOUTH BUILDING-AO
2414582,NOAA-NMFS-NW-FSC-AQUALAB-AO
4297402,SSMC Building 2 - 1325 East West Hwy
4430616,"151 Watts Ave, Pascagoula"
2414742,NOAA-NMFS-NW-FSC-WEST BLDG-AO
4296560,Bldg 130 (Warehouse)
4190857,NMFS NEFSC Woods Hole MA Campus
4193666,OCAO WRC Seattle WA Campus
4201070,NESDIS - FCDAS CAMPUS
2414392,NOAA-NMFS-NW-FSC-INTERIM PILOT PLANT-AO
1283225,ARCHIVE - NOAA - NOS - ONMS - Dr. Nancy Foster Complex
4296558,Bldg 166
2414446,NOAA-NMFS-NW-FSC-HAZMAT STORAGE BUILDING-AO
4187877,NOAA-OAR-GLERL-Bldg 1
4187875,NOAA-OAR-GLERL-Bldg 3
4296546,OCAO - Inouye Regional Center
4189225,NMFS Milford Biological Lab Campus
4191047,NOAA - OAR - Oak Ridge TN Campus
4190843,NMFS Narragansett Lab Campus
4191542,NMFS Port Orchard WA Campus
4193792,OCAO - Boulder Labs
4188966,NMFS Juneau AK (Auke Bay Labs) Campus
4197714,NOAA - OAR - Fritz Peak Observatory campus
4250558,NOAA - NOS - Oxford Lab campus - AO
4075414,NOAA Center for Weather and Climate Prediction (NCWCP)
4202530,NESDIS - FCDAS COA - AO
4190651,NESDIS - FCDAS FSOF - AO
4202534,NESDIS - FCDAS WATER STORAGE BLDG - AO
2406789,NOS - GFNMS - Bldg 1905 - Sampling Station - AL
4430621,"166 Water St, Woods Hole"
4429407,NOAA - OAR - ARL Modular Office Oak Ridge TN - AO
4201036,NESDIS - WCDAS POWERHOUSE BLDG - AO
4796530,GLERL Bldg 1
4796579,NOAA - OAR - GLERL
