Address,City,FILE,PM ID,Property ID,Property Name,Property Type,State,Zip
Melbourne International Airport,MELBOURNE,RPMD,,FLM09101,ASOS Ground Space Melbourne Airport,Land,FL,32935
421 Croton Road,MELBOURNE,RPMD,,FLM11401,WFO Radar Site (WSR-88D) Melbourne FL,Land,FL,32935
10001 N. Wickham Road,MELBOURNE,RPMD,,14000102,NWR Melbourne Viera  FL WXJ70,Structure,FL,32940
5701 Hollywood Blvd.,HOLLYWOOD,RPMD,,14000934,NMFS Inspection Office Hollywood FL,Building,FL,33021
95230 Overseas Highway,KEY LARGO,LOOKUP,2406423,FLC09401,Florida Keys Nat'l Marine Sanctuary-Upper Region,Building,FL,33037
Marseilles Boulevard,KEY LARGO,RPMD,,14000555,Ground Space,Land,FL,33037
95230 Overseas Highway,KEY LARGO,RPMD,,FL1122ZZ,National Marine Sanctuary Key,Building,FL,33037
522 Caribbean Dr,KEY LARGO,RPMD,,FL1164ZZ,FL1164ZZ,Building,FL,33037
1315 White Street,KEY WEST,RPMD,,14000104,WFO Key West - Site,Land,FL,33040
33 Quay Road,KEY WEST,RPMD,,14000440,Dr. Nancy Foster FL Keys Dock,Structure,FL,33040
301 SIMONTON ST,KEY WEST,RPMD,,FL0019ZZ,Sidney M. Aronovitz United Sta,Building,FL,33040
33 East Quay Road,KEY WEST,RPMD,,FLC09603,Dr. Nancy Foster FL Keys Complex Land,Land,FL,33040
No Street,KEY WEST,RPMD,,FLM09401,Asos Ground Space,Land,FL,33040
"Lat. 24-33-33 N., Long. 81-45-44 W.",KEY WEST,RPMD,,FLM12501,Ground Space,Land,FL,33040
Lat. 24-39-59 N. Long. 81-32-18 W.,SUMMERLAND KEY,RPMD,,FLM06601,NWR Summerland Key Sugarloaf Key FL WXJ95,Structure,FL,33042
"100 Street Center, 10075 Overseas Highway",MARATHON,RPMD,,14000142,NMFS Enforcement Office Marathon FL,Building,FL,33050
No Street,MARATHON,RPMD,,FLM09301,Asos Marathon Airport Ground Space - HO,Land,FL,33050
Pompano Beach Airpark,POMPANO BEACH,RPMD,,FLM10301,Asos Pompano Beach Air Park Ground Space - HO,Land,FL,33062
No Street,MIAMI,RPMD,,FLM10501,Asos Opa Locka Airport Ground Space,Land,FL,33101
909 SE 1ST AVE,MIAMI,RPMD,,FL0079ZZ,BRICKELL PLAZA BLDG,Building,FL,33131
75 Virginia Beach Drive,KEY BISCAYNE,RPMD,,FLM00201,SEFSC Land,Land,FL,33149
75 Virginia Bch Dr,KEY BISCAYNE,RPMD,,FLM00203,SEFSC Sea Water Settling Tank,Structure,FL,33149
4302 Rickenbacker-Causeway,MIAMI,RPMD,,FLM07403,OAR AOML Land/Virginia Key,Land,FL,33149
13601 SW 176th Street,MIAMI,RPMD,,14000233,RDA Miami - Site (Richmond Heights FL),Land,FL,33167
16001 SW 117th Avenue,MIAMI,RPMD,,14001463,NESDIS MEOLUT Miami FL Site,Land,FL,33177
16001 SW 117TH Avenue,MIAMI,RPMD,,14001465,NESDIS MEOLUT Miami FL Antenna,Structure,FL,33177
No Street,MIAMI,RPMD,,FLM10401,Asos Kendall-tamiami Arpt Ground Space,Land,FL,33186
11691 SW 17th Street,MIAMI,RPMD,,FLC08701,NWS WFO/NHC FL Miami National Hurricane Ctrl -Land,Land,FL,33199
2550 Eisenhower Boulevard,FORT LAUDERDALE,RPMD,,FL1194ZZ,Amman Building,Building,FL,33316
7771 W. OAKLAND PARK BLVD,SUNRISE,RPMD,,FL2043ZZ,ATRIUM WEST,Building,FL,33351
400 N CONGRESS AVE,WEST PALM BEACH,RPMD,,FL2334ZZ,400 BUILDING,Building,FL,33401
Dept Of Arpts  Bldg 846,WEST PALM BEACH,RPMD,,FLM07901,ASOS Palm Beach Int'l Airport Site - HO,Land,FL,33406
1130 45th Street,WEST PALM BEACH,RPMD,,FLM07301,"NWR West Palm Beach, FL # KEC50",Structure,FL,33407
Lake Worth Pier,LAKE WORTH,RPMD,,FLM04801,Pier Space Instrument Site,Structure,FL,33460
15001 Boyette Road,RIVERVIEW,RPMD,,14001064,NWR Riverview Tampa Ruskin KHB32,Structure,FL,33569
2525 14th Avenue SE,RUSKIN,RPMD,,FLM01501,"Land WFO/RDA, FL, Tampa Ruskin",Land,FL,33570
2525 14th Avenue SE,RUSKIN,RPMD,,FLM01503,UAIB Tampa (Ruskin),Building,FL,33570
2525 14th Avenue SE,RUSKIN,RPMD,,FLM01504,WFO Tampa (Ruskin),Building,FL,33570
2314 S PARSONS AVE,SEFFNER,RPMD,,FL1057ZZ,Neufeld Office Building,Building,FL,33584
E. side of US 301 0.5 mile north of ST RD 470,SUMTERVILLE,RPMD,,14001199,NWR Sumterville FL KPS505,Structure,FL,33585
Box 22287,TAMPA,RPMD,,FLM11301,ASOS Tampa Int'l Arpt Site,Land,FL,33622
263 13th Avenue South,ST PETERSBURG,RPMD,,FL1138ZZ,Bayboro Station,Building,FL,33701
No Street,St Petersburg,RPMD,,FLM08401,ASOS Ground Space,Land,FL,33701
St. Petersburg-Clearwater International Airport,CLEARWATER,RPMD,,FLM09701,ASOS Ground Space (St Petersburg)- HO,Land,FL,33762
Starkey Road,SEMINOLE,RPMD,,14000406,NWR Seminole (Largo) FL KEC38,Structure,FL,33777
3450 Flightline Drive,LAKELAND,RPMD,,14001660,Aircraft Operations Center (AOC),Building,FL,33801
No Street,LAKELAND,RPMD,,FLM10901,Asos Lakeland Linder Arpt Ground Space,Land,FL,33811
2405 S. Memorial Drive,AVON PARK,RPMD,,14000101,NWR Avon Park Sebring FL WXK83A,Structure,FL,33826
Caloosahatchee River,Ft Myers,RPMD,,FLM03601,Ground Space Instrument Site,Land,FL,33901
No Street,FT MYERS,RPMD,,FLM12001,Asos Page Field Ground Space,Land,FL,33901
"2665 Ortiz Ave., State Road 82",FT MYERS,RPMD,,FLM03801,NWR Fort Myers FL WXK83,Structure,FL,33905
No Street,Ft Myers,RPMD,,FLM12101,Asos Sw Florida Arpt Ground Space,Land,FL,33913
Eullivan St.&retta Esp.,PUNTA GORDA,RPMD,,FLM06401,Storm Warning Twr Site Ground Space,Land,FL,33950
"Lat: 27.15060N, Long: 81.36893W",VENUS,RPMD,,14001076,CRN Venus FL,Land,FL,33960
Charlotte County Airport,PUNTA GORDA,RPMD,,FLM08201,Asos Charlotte County Airport Ground Space - HO,Land,FL,33982
Naples Municipal Airport,NAPLES,RPMD,,FLM13201,Asos Naples Arpt Ground Space,Land,FL,34104
5659 STRAND CT,NAPLES,RPMD,,FL3330ZZ,STRAND PROFESSIONAL PARK,Building,FL,34110
1800 Benton Rd,NAPLES,RPMD,,FLM13501,NWR Naples FL WWG92,Structure,FL,34117
"25.89957, -81.31835",OCHOPEE,RPMD,,14000682,CRN Ochopee FL,Land,FL,34141
Sarasota/Bradenton International Airport,SARASOTA,RPMD,,FLM10001,Asos Sarasota-bradenton Arpt Ground Space - HO,Land,FL,34243
2000 Border Road,VENICE,RPMD,,14000770,NWR Venice FL WWG59,Structure,FL,34292
3425 W Southern Street,LECANTO,RPMD,,14000105,NWR Lecanto Inverness  FL WWF38,Structure,FL,34461
Hernando County Airport,BROOKSVILLE,RPMD,,FLM08501,ASOS Ground Space Hernando Cy Airport - HO,Land,FL,34609
Wilson's Subdivision,TARPON SPRINGS,RPMD,,FLM07001,Ground Space,Land,FL,34688
No Street,LEESBURG,RPMD,,FLM09901,Asos Leesburg Mun Airport Ground Space - HO,Land,FL,34748
101 North Rock Road,Ft Pierce,RPMD,,14001570,NWR Fort Pierce (St Lucie) FL WWF69,Structure,FL,34945
ST LUCIE COUNTY INTERNATIONAL AIRPORT,Ft Pierce,RPMD,,FLM11501,ASOS st Lucie County Airport Ground Space,Land,FL,34982
684 Twin Lake Dr.,ARAB,RPMD,,14000344,NWR Arab AL WNG642,Structure,AL,35016
Shelby County Airport,CALERA,RPMD,,ALM05401,Ground Space,Land,AL,35040
Shelby County Airport,CALERA,RPMD,,ALM05402,Ground Space,Land,AL,35040
Cababa River,CENTREVILLE,RPMD,,ALM04101,Bridge Space River Gage,Structure,AL,35042
702 Airport Road,CLANTON,RPMD,,32,AL Clanton 1 NE Clanton AL,Land,AL,35045
765 County Road 1466,CULLMAN,RPMD,,38,AL Cullman 3 ENE Cullman AL,Land,AL,35055
508 4th Avenue SW,CULLMAN,RPMD,,14001325,NWR Cullman AL WWF66,Structure,AL,35055
508 4th Avenue SW,CULLMAN,RPMD,,14001326,"NWR Site, Cullman AL",Land,AL,35055
1225 Palisades Parkway,ONEONTA,RPMD,,14000345,NWR Oneonta  AL WNG606,Structure,AL,35121
566 Airport Drive,TALLADEGA,RPMD,,30,AL Talladega 10 NNE Talladega AL,Land,AL,35160
Birmingham-Shuttlesworth International Airport,BIRMINGHAM,RPMD,,ALM04801,Asos Ground Space,Land,AL,35212
"33.417861, -86.832125",BIRMINGHAM,RPMD,,ALM00901,NWR Birmingham AL WBIQ KIH54,Structure,AL,35233
No Street Address,TUSCALOOSA,RPMD,,ALM03901,NWR Tuscaloosa WVUA FM AL KIH60,Structure,AL,35401
560 Heflin Lock & Dam Rd,GAINESVILLE,RPMD,,35,AL Livingston 16 N Livingston AL,Land,AL,35464
No Street,NORTHPORT,RPMD,,ALM03801,Ground Space,Land,AL,35476
205 Hackberry Lane,TUSCALOOSA,RPMD,,14001357,CO-OP Weather & Research Cnt Site,Land,AL,35487
Cordova Elementary School,CORDOVA,RPMD,,14000466,Rain Gauge Site,Land,AL,35550
No Street,DECATUR,RPMD,,ALM05101,Asos Ground Space,Land,AL,35601
1390 Sanderson Lane,COURTLAND,RPMD,,44,AL Courtland 2 WSW Courtland AL,Land,AL,35618
No Street Address,FLORENCE,RPMD,,ALM01701,NWR Florence Crooked Oak AL KIH57,Structure,AL,35630
Muscle Shoals Airport,MUSCLE SHOALS,RPMD,,14000467,Ground Space,Land,AL,35661
Madison County Executive Airport,MERIDIANVILLE,RPMD,,ALM04601,ASOS Ground Space - HO,Land,AL,35759
86 Aviation Circle,SCOTTSBORO,RPMD,,40,AL Scottsboro 4 NE Scottsboro AL,Land,AL,35768
30773 Alabama Highway 79,SCOTTSBORO,RPMD,,ALM06201,RDA Huntsville Site (Hytop),Land,AL,35768
No Street Address,HUNTSVILLE,RPMD,,ALM02001,NWR Huntsville AL KIH20,Structure,AL,35801
320 Sparkman Drive SW,HUNTSVILLE,RPMD,,14000163,WFO Huntsville AL,Building,AL,35805
Etowah River Bridge,GADSDEN,RPMD,,ALM01901,Bridge Space River Gage,Structure,AL,35901
LAT 34.28515N/LONG 85.9619W,CROSSVILLE,RPMD,,14000596,CLIMATE REFERENCE NETWORK (CRN),Land,AL,35962
No Street Address,DOZIER,RPMD,,ALM01501,NWR Dozier  AL KIH59,Structure,AL,36028
"Lat. 31 52 37 N., Long. 86 43 40W.",GREENVILLE,RPMD,,14000301,NWR Grennville  AL WNG607,Structure,AL,36037
No Street Address,LOUISVILLE,RPMD,,ALM02101,NWR Louisville Texasville  AL KIH56,Structure,AL,36048
Tallapoosa River Bridge,SHORTER,RPMD,,ALM02401,Bridge Space River Gage,Structure,AL,36075
Tallapoosa River Bridge,SHORTER,RPMD,,ALM02402,Equipment Site,Land,AL,36075
775 Hudson Street,TROY,RPMD,,42,AL Troy 2 WSW Troy AL,Land,AL,36081
Coosa River Bridge,WETUMPKA,RPMD,,ALM04001,Bridge Space River Gage,Structure,AL,36092
No Street Address,MONTGOMERY,RPMD,,ALM03201,NWR Montgomery AL KIH55,Structure,AL,36101
ASOS Ground Space,MONTGOMERY,RPMD,,14001096,Dannelly Field,Land,AL,36102
Catoma Creek Bridge,MONTGOMERY,RPMD,,ALM03101,Bridge Space River Gage,Structure,AL,36108
Anniston Metropolitan Airport,ANNISTON,RPMD,,ALM06101,Asos Ground Space,Land,AL,36203
No Street Address,DELTA,RPMD,,ALM01301,Tower Space,Structure,AL,36258
Pea River,ELBA,RPMD,,ALM01601,Bridge Space River Gage,Structure,AL,36323
Dothan Regional Airport,DOTHAN,RPMD,,ALM04301,Asos Ground Space - HO,Land,AL,36350
Choctawhatchee,NEWTON,RPMD,,ALM03301,Bridge Space River Gage,Structure,AL,36352
Middleton Field Airport,EVERGREEN,RPMD,,ALM04501,Asos Ground Space - HO,Land,AL,36401
South Alabama Regional Airport,ANDALUSIA,RPMD,,ALM05901,Asos Ground Space,Land,AL,36420
2067 Kirkland Road,BREWTON,RPMD,,39,AL Brewton 2 NE Brewton AL,Land,AL,36426
"Lat. 31-11-53 N., Long. 87-07-33 W.",BREWTON,RPMD,,14000346,NWR Brewton AL WNG646,Structure,AL,36426
Highway 93,BREWTON,RPMD,,ALM01101,Bridge Space River Gage,Structure,AL,36426
Conecuh River Bridge,RIVER FALLS,RPMD,,ALM03501,Bridge Space River Gage,Structure,AL,36476
"30D 32.906'N, 87D 52.542'W",FAIRHOPE,RPMD,,14001082,CLIMATE REFERENCE NETWORK (CRN),Land,AL,36532
No Street,GULF SHORES,RPMD,,ALM04201,Ground Space,Land,AL,36542
7344 Zeigler Blvd.,MOBILE,RPMD,,14001116,NOS Mobile County EMA Mobile AL,Land,AL,36608
7344 Zeigler Blvd,MOBILE,RPMD,,14001293,Gulf Of Mexico Disaster Response Center Mobile AL,Building,AL,36608
7344 Zeigler Blvd,MOBILE,RPMD,,14001489,NOS GOMDRC Boat Barn Mobile AL,Building,AL,36608
Mobile Regional Airport,MOBILE,RPMD,,ALM04901,ASOS Ground Space - HO,Land,AL,36608
Mobile Regional Airport,MOBILE,RPMD,,ALM05301,Asos Ground Space,Land,AL,36608
Bates Regional Airport,MOBILE,RPMD,,ALM05701,Ground Space,Land,AL,36608
48 5th Street,SELMA,RPMD,,33,AL Selma 7 SSE Selma AL,Land,AL,36701
8695 Alabama Hwy 22,SELMA,RPMD,,14000418,NWR Selma AL WNG635,Structure,AL,36701
Alabama River Bridge,SELMA,RPMD,,ALM03601,Bridge Space River Gage,Structure,AL,36703
1001 Main Street,GREENSBORO,RPMD,,34,AL Greensboro 2 WNW Greensboro AL,Land,AL,36744
Lat 32.45692N/Long 87.24217W,MARION JCT,RPMD,,14000595,CLIMATE REFREENCE NETWORK (CRN),Land,AL,36759
Gahaba River Bridge,Marion Jct,RPMD,,ALM02201,Bridge Space River Gage,Structure,AL,36759
777 Gates Road,THOMASVILLE,RPMD,,31,AL Thomasville 2 SSE Thomasville AL,Land,AL,36784
"WCGQ Radio, 1.35 mi W of Phenix City on Womack Rd",PHENIX CITY,RPMD,,ALM03401,NWR Phenix City Columbus AL WXM32,Structure,AL,36869
2115 Nine Mile Ridge Road,CENTERVILLE,RPMD,,14000556,NWR Centerville TN KWN53,Structure,TN,37033
1230 Highway Drive,CLARKSVILLE,RPMD,,TNM06001,NWR Clarksville TN WWH37,Structure,TN,37040
200 Airport Road,CLARKSVILLE,RPMD,,TNM04001,ASOS Site - HO,Land,TN,37042
East of State Highway 80 on Russell Hill,LAFAYETTE,RPMD,,14000368,NWR Lafayette Pleasant Shade TN WNG631,Structure,TN,37083
"Marshals Mill, 3.6 Km W",LOBELVILLE,RPMD,,14000391,NWR Lobelville TN KWN52,Structure,TN,37097
500 Weather Station Road,OLD HICKORY,RPMD,,TNM00604,Ground Space,Land,TN,37138
Bldg 644,SMYRNA,RPMD,,TNM04301,ASOS Site,Land,TN,37167
312 Rosa L. Parks Blvd.,NASHVILLE,RPMD,,TNM03101,NWR Nashville TN KIG79,Structure,TN,37203
R & R Terminal Bldg,NASHVILLE,RPMD,,TNM02901,River Gauge Exterior Wall Space,Structure,TN,37210
1 Terminal Dr   Suite 5,NASHVILLE,RPMD,,TNM04201,ASOS Site,Land,TN,37217
312 Eighth Ave North,NASHVILLE,RPMD,,TNM06201,NWR Columbia Lawrenceburg TN Site,Land,TN,37243
312 Eighth Ave North,NASHVILLE,RPMD,,TNM06202,NWR Columbia Lawrenceburg TN - WWF84,Structure,TN,37243
1023 Keith Springs Mountain Rd.,BELVIDERE,RPMD,,14000634,NWR Belvidere TN WNG554,Structure,TN,37306
1338 Sawyer Cemetery Road,SIGNAL MOUNTAIN,RPMD,,14000505,NWR Chattanooga (Signal Mtn) TN WXK48,Structure,TN,37377
Shallow Ford Road,CHATTANOOGA,RPMD,,TNM01801,Ground Space,Land,TN,37406
Box 22444,CHATTANOOGA,RPMD,,TNM04701,ASOS Site,Land,TN,37422
No Address Provided,BLOUNTVILLE,RPMD,,TNM05101,ASOS Site,Land,TN,37617
Lat. 36-26-34 N. Long. 82-07-13 W.,ELIZABETHTON,RPMD,,TNM00702,Ground Space,Land,TN,37643
36.198333 -84.231111,BRICEVILLE,RPMD,,14001480,NWR Briceville (La Follette) TN WNG732,Structure,TN,37710
5974 Commerce Blvd.,MORRISTOWN,RPMD,,TNM04601,WFO Morristown,Land,TN,37814
TVA Site,ANDERSONVILLE,RPMD,,TNM01201,NWR Andersonville TN Ground Space,Land,TN,37828
456 South Illinois Avenue,OAK RIDGE,LOOKUP,4429407,14001422,OAR ARL Modular Office Oak Ridge TN,Building,TN,37830
456 S. Illinois Avenue,OAK RIDGE,RPMD,,14001421,Oak Ridge TN Air Resource,Land,TN,37830
820 West Outer Drive,OAK RIDGE,RPMD,,14001574,NWR Oak Ridge TN WNG732,Structure,TN,37830
No Street,OAK RIDGE,RPMD,,TNM05201,ASOS Ground Space - HO,Land,TN,37830
Box 15600,KNOXVILLE,RPMD,,TNM04401,ASOS Site,Land,TN,37901
123 Sharps Ridge Road,KNOXVILLE,RPMD,,14001033,NWR Knoxville TN WXK46,Structure,TN,37917
1765 Resthome Road,DYERSBURG,RPMD,,14000354,NWR Dyersburg TN WWH30,Structure,TN,38024
No Street,DYERSBURG,RPMD,,TNM05301,Asos Ground Space,Land,TN,38024
Millington Regional Jetport,MILLINGTON,RPMD,,TNM03801,NWS NEXRAD Millington TN,Land,TN,38053
Box 30168,MEMPHIS,RPMD,,TNM04101,ASOS Site,Land,TN,38130
308 Robert Mahon Drive,JACKSON,RPMD,,TNM03901,ASOS Site - HO,Land,TN,38301
28433 Highway 114,HOLLOW ROCK,RPMD,,14000405,NWR Hollow Rock(Spencer) TN WNG629,Structure,TN,38342
150 Hardins Fire Tower Road,COLLINWOOD,RPMD,,14001201,NWR Olive Hill TN (Collinwood/Clifton) WZ2506,Structure,TN,38450
Box 649,CROSSVILLE,RPMD,,TNM05001,ASOS Site,Land,TN,38557
4 Preston Hollow Land,HICKMAN,RPMD,,14000379,NWR Hickman TN WXN74,Structure,TN,38567
LAT 36D 00.862N/LONG 85D 08.084W,CROSSVILLE,RPMD,,14000517,CLIMATE REFERENCE NETWORK (CRN),Land,TN,38571
Hwy 30 & Courthouse Square,SPENCER,RPMD,,14000377,NWR Spencer Hollow Rock TN WNG554,Structure,TN,38585
"34.255017, -89.873594",COURTLAND,RPMD,,MSM05401,OAR ESRL SURFRAD Batesville (Courtland) MS,Land,MS,38620
"LAT 34D 49.337'N, 89D 26.087'W, ELEV 487'",HOLLY SPRINGS,RPMD,,14000987,CLIMATE REFERENCE NETWORK (CRN),Land,MS,38635
2351 CR 605,RIPLEY,RPMD,,14000399,NWR Ripley (Booneville) MS KIH53,Structure,MS,38663
160 County Road 344,TAYLOR,RPMD,,14000606,NWR Taylor (Oxford) MS KIH52,Structure,MS,38673
No Street,GREENVILLE,RPMD,,MSM04302,Asos Ground Space,Land,MS,38701
612 Sunflower Avenue,INDIANOLA,RPMD,,MS1106ZZ,Lovelace Shopping Center,Building,MS,38751
TV Station Road #99,INVERNESS,RPMD,,14000605,NWR Inverness MS KIH50,Structure,MS,38753
Route 7  Box 14,TUPELO,RPMD,,MSM04401,ASOS Site - HO,Land,MS,38801
P.o. Box 378,GREENWOOD,RPMD,,MSM04201,ASOS Site - HO,Land,MS,38930
"NW 1/4, Section 15, Township 5N, Range 3",BRANDON,RPMD,,14000396,Ground Space,Land,MS,39043
98 Broadcast Circle,CARTHAGE,RPMD,,14000747,NWR Carthage MS KJY83,Structure,MS,39051
124 1ST NE,MAGEE,RPMD,,14001581,NWR Magee MS WZ2546,Structure,MS,39111
Box 150,VICKSBURG,RPMD,,MSM04701,ASOS Site - HO,Land,MS,39181
No Address,JACKSON,RPMD,,MSM02501,Ground Space,Land,MS,39203
234 Weather Service Drive,FLOWOOD,RPMD,,MSM01101,"Land WFO RDA, MS, Flowood, WFO Jackson",Land,MS,39232
234 Weather Service Drive,FLOWOOD,RPMD,,MSM01102,"Land UAIB, MS, Flowood WFO Jackson",Land,MS,39232
Box 98109,JACKSON,RPMD,,MSM05001,ASOS Thompson Field Site - HO,Land,MS,39298
Box 4351,MERIDIAN,RPMD,,MSM04801,ASOS Site,Land,MS,39304
32.3378 -89.0703,NEWTON,RPMD,,14000180,NESDIS CRN Newton MS,Land,MS,39345
"Route 1, Box 88A",ROSE HILL,RPMD,,14000604,NWR Rose Hill Meridan MS  KIH49,Structure,MS,39356
Lat. 31-26-22 N. Long. 89-38-75 W.,HATTIESBURG,RPMD,,14000072,NWR Hattiesburg Melba MS KIH47,Structure,MS,39401
Box 1898,HATTIESBURG,RPMD,,MSM04601,ASOS Site - HO,Land,MS,39403
22582 Highway 63 North,LEAKESVILLE,RPMD,,14000407,NWR Leakesville MS WNG640,Structure,MS,39451
28th Street,GULFPORT,RPMD,,MSM02201,NWR Gulfport  MS  KIH-21,Structure,MS,39501
Building 1021 Balch Boulevard,STENNIS SPACE CENTER,RPMD,,14001345,NESDIS NMFS Office Space Stennis Space Center MS,Building,MS,39529
3205 Balch Blvd,STENNIS SPACE CENTER,RPMD,,14001482,NWS NDBC Bldg 3205 Stennis MS,Building,MS,39529
3150 Balch Blvd,STENNIS SPACE CENTER,RPMD,,14001483,NWS NDBC Bldg 3150 Stennis MS,Building,MS,39529
3202 Balch Blvd,STENNIS SPACE CENTER,RPMD,,14001484,NWS NDBC Bldg 3202 Stennis MS,Building,MS,39529
3203 Balch Blvd,STENNIS SPACE CENTER,RPMD,,14001485,NWS NDBC Bldg 3203 Stennis MS,Building,MS,39529
3203A Balch Blvd,STENNIS SPACE CENTER,RPMD,,14001486,NWS NDBC Bldg 3203A Stennis MS,Building,MS,39529
3206 Balch Blvd,STENNIS SPACE CENTER,RPMD,,14001487,NWS NDBC Bldg 3206 Stennis MS,Building,MS,39529
3208 Balch Blvd,STENNIS SPACE CENTER,RPMD,,14001488,NWS NDBC Bldg 3208 Stennis MS,Building,MS,39529
3209 Fredric St.,PASCAGOULA,RPMD,,14000993,Reconstructed South Dock,Structure,MS,39567
3209 Fredric Street,PASCAGOULA,RPMD,,14001011,Reconstructed Middle Dock,Structure,MS,39567
3209 Frederic Street,PASCAGOULA,RPMD,,14001588,NMFS Tract 2  Pascagoula MS Site,Land,MS,39567
3209 Frederic Street,PASCAGOULA,RPMD,,14001589,NMFS Tract 3 Pascgoula MS Site,Land,MS,39567
3209 Frederic St,PASCAGOULA,RPMD,,MSM00104,Laboratory Site,Land,MS,39567
3209 Frederic St,PASCAGOULA,RPMD,,MSM00105,Dock Site,Land,MS,39567
3209 Frederic St,PASCAGOULA,RPMD,,MSM00109,Reconstructed North Dock and Bulkhead,Structure,MS,39567
3209 Frederic St,PASCAGOULA,RPMD,,MSM00112,Alpo Site,Land,MS,39567
3209 Frederic St,PASCAGOULA,RPMD,,MSM00113,NMFS Tract 1 Dock Exp Pascagoula MS Site,Land,MS,39567
No Address,PASCAGOULA,RPMD,,MSM03201,Storm Warning Tower Ground Space,Land,MS,39581
Naval Station Pascagoula,PASCAGOULA,RPMD,,14000690,NSIL Land,Land,MS,39595
"Route 1, Box 115, Hwy 98",SMITHDALE,RPMD,,14000603,NWR Smithdale Bude MS  KIH48,Structure,MS,39664
"Route 2, Box 138-B, Dido Road",ACKERMAN,RPMD,,14000602,NWR Ackerman MS KIH51,Structure,MS,39735
Flint River Bridge,BAINBRIDGE,RPMD,,GAM02701,Bridge Space River Gage Site,Structure,GA,39817
31.402333 -84.959222,BLAKELY,RPMD,,14000108,NWR Blakely GA KZZ70,Structure,GA,39823
1 Main Range Road,FORT KNOX,RPMD,,KYC02101,"Land remote radar, KY, Fort Knox Louisville WFO",Land,KY,40121
Standiford Field,LOUISVILLE,RPMD,,KYC02401,ASOS Site License,Land,KY,40209
6201 Theiler Lane,LOUISVILLE,RPMD,,KYC01701,"Land WFO owned, KY, Louisville",Land,KY,40228
1850 Chestnut Stand Road,IRVINE,RPMD,,14000671,NWR Irvine KY 9956/32,Structure,KY,40336
West Liberty Microwave,WINCHESTER,RPMD,,KYC02501,NWR West Liberty Winchester KY WWG79,Structure,KY,40391
Blue Grass Airport,LEXINGTON,RPMD,,KYC01801,ASOS Blue Grass Airport,Land,KY,40510
LAT 38D 5.668N/LONG 84D 44.796W,LEXINGTON,RPMD,,14000204,CRN Lexington KY,Land,KY,40546
London Corbin Airport,LONDON,RPMD,,KYC02301,ASOS London Corbin Airport,Land,KY,40741
1329 Airport Road Julian Carroll Airport,JACKSON,RPMD,,KYC00801,Original WSO Site  - Owned,Land,KY,41339
1329 Airport Road Julian Carroll Airport,JACKSON,RPMD,,KYC00806,WFO Expansion Site / Leased,Land,KY,41339
1329 Airport Road Julian Carroll Airport,JACKSON,RPMD,,KYC00807,NEXRAD Expansion Site /leased,Land,KY,41339
Julian Carroll Airport,JACKSON,RPMD,,KYC01501,ASOS Julian Carroll Airport Jackson KY,Land,KY,41339
Paducah Regional Airpor,PADUCAH,RPMD,,KYC01001,NWS RADAR Paducah KY,Land,KY,42001
Us Hwy 6  Hinkleville R,PADUCAH,RPMD,,KYC01201,NEXRAD Paducah KY Land,Land,KY,42001
Barkley Regional Airport,PADUCAH,RPMD,,KYC02001,ASOS Barkley Regional Airport,Land,KY,42002
Bowling Green-warren Co,BOWLING GREEN,RPMD,,KYC01601,ASOS Bowling Green Warren County Airport,Land,KY,42103
LAT 37D 15.014N/LONG 86D 13.961W,MAMMOTH CAVE,RPMD,,14000338,CRN Mammoth Cave KY,Land,KY,42259
P.o. Box 4190,NEWARK,RPMD,,OHE04501,Asos-newark-heath Airport,Land,OH,43055
P.o. Box 4190,NEWARK,RPMD,,OHE05101,Asos-newark-heath Airport,Land,OH,43055
P.o. Box 1009,LANCASTER,RPMD,,OHE03001,Asos-Fairfield County Airport,Land,OH,43130
Box 3022,COLUMBUS,RPMD,,OHE03901,Asos-Ohio State University Ap,Land,OH,43210
4600 International Gate,COLUMBUS,RPMD,,OHE05001,Asos-port Columbus Int'l Ap,Land,OH,43219
125 South Oval Mall,COLUMBUS,RPMD,,14001661,NOS NGS Menden Hall Lab Columbus OH,Building,OH,43228
1530 Pole Lane Road,MARION,RPMD,,OHE02601,Asos - Marion Numicpal Airport,Land,OH,43302
1000 N Lawrence Drive,PORT CLINTON,RPMD,,14001670,NWS Wind System Port Clinton Camp Perry OH,Land,OH,43452
7112 Angola Rd,HOLLAND,RPMD,,OHE02201,NWR Holland Toledo OH WXL51,Structure,OH,43528
11013 Airport Highway,SWANTON,RPMD,,OHE05201,Asos-toledo Express Airport,Land,OH,43558
One Maritime Plaza,TOLEDO,RPMD,,OHE04601,Asos-Metcaff Field,Land,OH,43604
P.o. Box 663,ZANESVILLE,RPMD,,OHE04801,Asos-Zanesville Memorial Ap,Land,OH,43701
6955 Big Muskie Drive  (Rt 284),CHANDLERSVILLE,RPMD,,14001153,NWR High Hill Caldwell Cambridge OH,Structure,OH,43727
40.366635 -81.782865,COSHOCTON,RPMD,,14000782,NESDIS CRN Coshocton OH Site,Land,OH,43812
8754 Mayfield Rd,CHESTERLAND,RPMD,,OHE03201,NWR Chesterland (Chester Township) OH KHB59,Structure,OH,44026
2382 Airport Road,ASHTABULA,RPMD,,OHE04201,Asos-Ashtabula County Airport,Land,OH,44047
