Address,City,FILE,PM ID,Property ID,Property Name,Property Type,State,Zip
Hangar 7c,New York -bronx,RPMD,,NYE05801,ASOS-Laguardia Airport,Land,NY,11371
Bldg. 269 (Jamaica),New York New York,RPMD,,NYE05101,ASOS JFK Int'l Airport,Land,NY,11430
16 Station Road Ste 3,BELLPORT,RPMD,,14000020,NMFS OLE Bellport NY,Building,NY,11713
630 JOHNSON AVE,BOHEMIA,RPMD,,NY6437ZZ,AIRPORT CORPORATE,Building,NY,11716
East Farmingdale Ny,FARMINGDALE,RPMD,,NYE04601,Asos  East Farmingdale,Land,NY,11735
75 OAK STREET,PATCHOGUE,RPMD,,NY5718ZZ,75 OAK STREET,Building,NY,11772
62 NEWTOWN LANE,EAST HAMPTON,RPMD,,NY6501ZZ,PC SCHENCK & SONS,Building,NY,11937
Dawn Drive,SHIRLEY,RPMD,,NYE03101,Asos-Brookhaven Airport,Land,NY,11967
175 Brookhaven Avenue Bldg NWS 1,UPTON,RPMD,,NYE06301,WFO NEXRAD UAIB Upton NY Site,Land,NY,11973
Woodstock Road,BERNE,RPMD,,NYE02501,Land - Nexrad,Land,NY,12023
Woodstock Road,BERNE,RPMD,,NYE02502,Nexrad easement Deed,Land,NY,12023
692 Pinnacle Road,NEW SCOTLAND,RPMD,,14001415,NWR New Scotland NY WXL34,Structure,NY,12186
Arts Building  2nd Floo,ALBANY,RPMD,,NYE04201,Asos  Albany County Airport,Land,NY,12211
1040 Reservoir Road,HIGHLAND,RPMD,,NYE03701,NWR Highland NY WXL37 (Illinois Mtn) Poughkeepsie,Structure,NY,12528
"41.7857, -73.7422",MILLBROOK,RPMD,,14000464,USCRN CRN Millbrook NY,Land,NY,12545
Route 2  Box 13,MONTGOMERY,RPMD,,NYE05301,Asos  Orange County Airport,Land,NY,12549
263 New Hackensack Rd,WAPPINGERS FALLS,RPMD,,NYE05601,Asos Dutchess County Airport,Land,NY,12590
200r Queensbury Avenue,QUEENSBERRY,RPMD,,NYE05501,Asos Warren County Airport,Land,NY,12804
GORE Mountain Radio Facility,RAY BROOK,RPMD,,14000219,NY Dept. of Environ Conservation,Land,NY,12977
30 Main Street,SARANAC LAKE,RPMD,,NYE02801,ASOS-Adirondack Airport,Land,NY,12983
State Rd 176,FULTON,RPMD,,NYE04801,Asos Oswego County Airport KFZY,Land,NY,13069
Syracuse Hancock International Airport,SYRACUSE,RPMD,,14001003,ASOS  (SYR),Land,NY,13212
4044 Makyes Road,SYRACUSE,RPMD,,NYE06601,NWR WMHR SYRI79 Syracuse,Structure,NY,13215
Lots 37 and 48 in Township 3,LOWVILLE,RPMD,,14000978,Nexrad (Montague Site),Land,NY,13367
Rd #2  Box 141,ORISKANY,RPMD,,NYE05401,Asos Oneida County Airport,Land,NY,13424
1 Watertoen Int'l Airpo,DEXTER,RPMD,,NYE04401,Asos Watertown Int't Ap,Land,NY,13634
Town Hall,MESSENA,RPMD,,NYE05201,Asos Messena Int Richards Ap,Land,NY,13662
2965 White Hill Road,PARISHVILLE,RPMD,,14000962,NWR Parishville NY  White Hill Boces KBS508,Structure,NY,13672
2965 White Hill Road,PARISHVILLE,RPMD,,14001367,Ground Space for Bldg Parishville NY,Land,NY,13672
